"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LFT_00831",106.02838145261,0.0146589802789344,0.304590461415433,0.0481268527281325,0.961615145614463,0.982543378001555
"LFT_01758",182.631320927084,0.0148808148793857,0.30763425490408,0.0483717747362871,0.961419953461629,0.982543378001555
"LFT_01319",337.464163254453,0.0149440060685227,0.219446507338432,0.0680986279971909,0.945707122522942,0.97285278918886
"LFT_01332",670.861397063716,0.0150302778226112,0.200484060578612,0.0749699391524329,0.940238629644047,0.969206473750645
"LFT_00998",3671.24642680353,0.0151793481336831,0.198547725975185,0.0764518861101449,0.939059591209331,0.968467297408862
"LFT_01869",1288.29232290995,0.0152222292929797,0.164510120734221,0.0925306554091733,0.926276436196145,0.963438188224501
"LFT_00639",33.3411392551763,0.0174364916832363,0.477649039585785,0.0365048188903659,0.97087983635316,0.986422266886195
"LFT_01605",118.997453149234,0.0177376457212349,0.278562566928263,0.0636756256119752,0.949228513294714,0.976063243417392
"LFT_00489",174.713166773101,0.0181456492351819,0.234805921212772,0.0772793511401234,0.938401317179168,0.968198141391038
"LFT_01361",161.829754191196,0.0190843934821033,0.244900284747482,0.0779272000511609,0.937885962684531,0.968076277451166
"LFT_02079",2.55246208391119,0.0199910854738561,1.49571913836502,0.0133655343179659,0.989336164015273,NA
"LFT_01523",33.527578143423,0.0229566085959569,0.46616424199371,0.0492457518787266,0.960723450747227,0.982543378001555
"LFT_01082",775.164918527213,0.0235045084074189,0.227612611544055,0.103265404530845,0.917752331976935,0.957842583737811
"LFT_01018",208.918323056515,0.0242770929307029,0.272141359352568,0.0892076565960382,0.928916880557019,0.96536052789657
"LFT_00881",21.697133954575,0.0252504801755142,0.530960716550612,0.0475562115772971,0.962069930615659,0.982543378001555
"LFT_00232",141.878005923013,0.0260032376463283,0.273685331996096,0.0950114405352904,0.924305739798454,0.962209776970881
"LFT_01669",5.38595908132562,0.0268819030996147,0.998836381698241,0.0269132198147505,0.978528949449837,NA
